user_id,recency,frequency,monetary
R00412,24,19,251.92
R00413,29,27,389.92
R00414,21,14,214.45
R00415,19,20,271.05
R00416,53,19,272.3
R00417,20,27,344.99
R00418,32,22,276.0
R00419,24,21,334.02
R00420,71,22,383.0
R00421,19,16,210.34
R00422,27,17,245.81
R00423,72,28,481.55
R00424,48,22,316.34
R00425,23,18,276.83
R00426,34,19,304.47
R00427,117,15,255.52
R00428,20,23,373.8
R00429,35,27,349.52
R00430,51,19,322.59000000000003
R00431,38,17,269.51
R00432,29,16,225.28
R00433,42,17,237.96
R00434,59,15,274.21
R00435,38,12,189.95
R00436,37,15,187.28
R00437,59,16,218.89000000000001
R00438,20,16,246.63
R00439,30,24,354.63
R00440,66,12,203.95
R00441,22,20,345.64
R00442,24,22,377.23
R00443,24,12,178.84
R00444,22,22,380.59999999999997
R00445,66,21,291.74
R00446,21,31,449.58
R00447,26,25,413.22
R00448,27,26,420.08
R00449,41,20,323.77
R00450,18,18,264.31
R00451,24,26,361.08
R00452,21,22,358.66
R00453,56,17,246.84
R00454,19,18,287.84
R00455,54,21,303.01
R00456,25,21,333.12
R00457,21,12,198.67
R00458,28,25,389.94
R00459,63,16,269.78
R00460,20,15,237.57
R00461,37,17,293.51
R00462,51,27,374.49
R00463,40,31,455.16
R00464,63,14,238.74
R00465,43,29,429.28
R00466,26,13,210.32
R00467,25,17,248.05
R00468,22,18,302.62
R00469,46,21,358.54
R00470,41,19,310.78000000000003
R00471,24,22,308.84000000000003
R00472,20,23,336.54
R00473,31,22,370.31
R00474,54,23,323.31
R00475,20,22,358.15
R00476,67,18,273.26
R00477,20,26,404.28
R00478,57,17,304.13
R00479,22,29,417.58
R00480,22,18,252.07
R00481,80,16,279.73
R00482,38,22,308.78
R00483,29,21,288.53
R00484,28,19,288.44
R00485,38,26,417.74
R00486,24,28,431.62
R00487,24,24,323.78000000000003
R00488,37,17,241.12
R00489,48,14,200.73
R00490,19,17,278.24
R00491,22,22,351.97
R00492,33,23,355.77
R00493,20,14,248.22
R00494,44,24,339.05
R00495,24,22,338.96
R00496,33,22,322.21
R00497,29,20,249.85000000000002
R00498,19,24,392.25
R00499,37,20,359.14
R00500,40,26,370.33
R00501,28,12,152.41
R00502,43,27,440.63
R00503,39,27,393.31
R00504,31,21,306.48
R00505,61,24,354.12
R00506,23,17,242.89
R00507,22,24,391.06
R00508,21,14,252.3
R00509,33,20,345.44
R00510,31,27,413.44
R00511,24,25,381.71
R00512,38,22,355.72
R00513,21,21,312.56
R00514,56,24,363.94
R00515,23,20,300.21
R00516,32,26,430.67
R00517,40,12,179.47
R00518,20,30,410.77
R00519,29,20,354.13
R00520,42,20,354.59
R00521,32,16,244.99
R00522,19,21,266.38
R00523,19,18,261.42
R00524,33,14,202.13
R00525,25,19,325.12
R00526,35,11,169.18
R00527,23,15,207.8
R00528,95,16,263.8
R00529,35,30,498.63
R00530,100,17,243.32
R00531,49,15,198.43
R00532,47,17,276.13
R00533,124,15,250.66
R00534,25,19,276.05
R00535,27,18,299.2
R00536,36,25,388.64
R00537,19,15,219.29
R00538,39,20,321.42
R00539,37,23,362.15
R00540,42,28,464.02
R00541,26,18,244.36
R00542,37,16,248.83
R00543,28,24,402.51
R00544,34,19,297.54
R00545,22,18,278.09
R00546,46,17,302.31
R00547,21,17,254.53
R00548,23,18,257.11
R00549,30,19,280.11
R00550,29,27,413.4
R00551,54,17,212.99
R00552,30,22,287.87
R00553,19,18,229.16
R00554,28,20,322.61
R00555,52,23,361.25
R00556,25,19,278.76
R00557,32,23,378.07
R00558,22,27,441.96
R00559,22,19,293.58
R00560,46,23,304.81
R00561,59,19,243.9
R00562,26,22,316.1
R00563,51,21,341.39
R00564,19,18,257.73
R00565,27,28,459.19
R00566,44,19,287.31
R00567,31,18,205.13
R00568,29,16,264.0
R00569,29,24,372.72
R00570,24,21,285.76
R00571,48,21,375.78000000000003
R00572,19,15,266.21
R00573,32,15,240.24
R00574,68,24,399.93
R00575,23,20,283.89
R00576,43,16,305.55
R00577,46,20,320.33
R00578,27,13,215.76999999999998
R00579,27,14,250.63
R00580,43,20,319.27
R00581,47,20,331.6
R00582,59,19,263.82
R00583,121,18,278.12
R00584,27,19,253.43
R00585,22,20,260.77
R00586,38,28,408.68
R00587,77,16,298.87
R00588,24,16,199.09
R00589,73,21,397.0
R00590,39,15,221.06
R00591,24,16,265.92
R00592,37,13,222.28
R00593,23,24,363.05
R00594,57,20,291.51
R00595,19,21,317.79
R00596,59,14,223.81
R00597,28,28,445.25
R00598,23,17,265.21999999999997
R00599,39,24,352.05
R00600,21,32,543.05
R00601,27,14,216.26
R00602,29,24,355.1
R00603,39,22,287.93
R00604,34,16,225.23000000000002
R00605,20,19,310.37
R00606,32,22,346.64
R00607,21,21,320.59
R00608,20,24,368.18
R00609,77,23,362.17
R00610,20,27,398.62
R00611,23,18,321.78
R00612,30,21,303.54
R00613,31,15,239.19
R00614,23,21,294.53
R00615,19,29,397.63
R00616,39,35,564.23
R00617,23,24,364.65
R00618,30,15,220.41
R00619,43,22,316.38
R00620,46,17,257.62
R00621,45,14,202.41
R00622,47,20,307.3
R00623,58,18,298.79
R00624,26,26,435.69
R00625,19,17,250.17
R00626,38,22,357.19
R00627,98,10,139.41
R00628,39,12,164.64
R00629,33,23,348.67
R00630,35,19,265.11
R00631,32,16,266.98
R00632,24,14,203.66
R00633,23,17,296.32
R00634,43,23,330.82
R00635,48,21,341.56
R00636,21,18,268.59
R00637,37,27,448.77
R00638,45,11,202.92000000000002
R00639,38,20,283.22
R00640,26,15,239.1
R00641,26,18,273.48
R00642,52,18,239.53
R00643,33,10,172.68
R00644,21,29,487.16999999999996
R00645,98,20,265.12
R00646,40,14,237.10999999999999
R00647,40,20,313.68
R00648,68,23,351.73
R00649,85,15,232.72
R00650,27,24,356.74
R00651,27,18,328.23
R00652,32,18,278.54
R00653,23,27,389.59
R00654,26,21,312.17
R00655,50,22,332.11
R00656,22,17,237.88
R00657,20,17,248.04999999999998
R00658,37,22,379.28
R00659,29,16,234.77
R00660,30,17,291.49
R00661,36,27,455.92
R00662,26,17,222.47
R00663,26,12,202.66
R00664,73,18,301.71999999999997
R00665,24,22,318.46
R00666,19,35,533.47
R00667,26,22,325.24
R00668,31,9,145.84
R00669,80,20,314.67
R00670,41,21,352.44
R00671,51,16,277.52
R00672,19,23,329.24
R00673,22,18,254.39
R00674,26,25,362.88
R00675,24,24,336.53
R00676,32,19,292.15
R00677,21,17,265.57
R00678,22,22,329.12
R00679,21,27,460.77
R00680,21,21,384.88
R00681,26,26,456.94
R00682,42,19,265.38
R00683,32,26,478.1
R00684,39,14,201.15
R00685,22,13,195.73
R00686,34,27,474.3
R00687,20,27,407.89
R00688,22,18,245.03
R00689,46,12,168.79
R00690,29,16,274.28000000000003
R00691,24,22,395.91
R00692,59,24,385.74
R00693,34,22,296.84000000000003
R00694,45,17,256.56
R00695,22,23,375.57
R00696,69,18,252.2
R00697,43,28,455.91
R00698,56,12,213.16
R00699,32,27,422.17
R00700,67,25,380.59
R00701,34,22,312.52
R00702,41,20,284.48
R00703,27,19,314.23
R00704,27,20,263.84
R00705,22,25,423.93
R00706,21,22,268.86
R00707,41,19,313.51
R00708,49,21,292.07
R00709,31,23,339.41
R00710,20,23,373.08
R00711,25,28,433.45
R00712,47,27,382.31
R00713,60,14,232.89
R00714,54,19,286.54
R00715,44,25,375.22
R00716,20,24,368.24
R00717,27,18,270.08
R00718,19,25,404.05
R00719,21,21,302.33
R00720,29,18,261.43
R00721,52,16,235.21
R00722,48,13,248.0
R00723,43,20,289.25
R00724,34,17,266.32
R00725,24,18,251.29
R00726,24,19,293.31
R00727,34,13,182.8
R00728,30,12,168.77
R00729,49,19,243.66
R00730,28,19,306.73
R00731,93,20,310.3
R00732,46,18,307.03
R00733,53,19,311.71
R00734,45,12,230.6
R00735,51,25,403.90999999999997
R00736,68,18,283.26
R00737,46,27,397.42
R00738,50,17,242.47
R00739,22,37,507.89
R00740,35,16,260.03
R00741,20,14,231.23000000000002
R00742,30,15,233.84
R00743,49,20,299.41
R00744,21,19,274.48
R00745,19,26,399.95
R00746,47,14,204.22
R00747,28,19,292.05
R00748,34,14,234.77
R00749,61,27,495.68
R00750,23,30,454.31
R00751,27,27,371.18
R00752,26,17,201.32999999999998
R00753,20,25,347.6
R00754,95,16,279.84000000000003
R00755,41,29,465.03
R00756,43,20,309.68
R00757,24,14,212.2
R00758,51,27,393.98
R00759,33,16,207.57
R00760,35,21,295.95
R00761,34,9,169.43
R00762,20,23,355.51
R00763,41,21,313.22
R00764,50,14,225.44
R00765,38,13,233.02
R00766,36,27,405.15
R00767,37,21,286.55
R00768,26,24,401.06
R00769,81,17,258.73
R00770,22,25,440.99
R00771,41,24,360.45
R00772,27,16,260.19
R00773,74,19,269.34
R00774,29,14,175.37
R00775,25,27,436.08000000000004
R00776,61,14,232.08
R00777,116,21,290.61
R00778,45,25,415.7
R00779,44,17,288.36
R00780,45,16,248.31
R00781,38,22,372.24
R00782,43,27,399.28000000000003
R00783,46,14,220.64
R00784,46,14,233.81
R00785,53,15,196.59
R00786,22,29,493.51
R00787,19,18,269.97
R00788,45,21,338.40999999999997
R00789,33,19,295.65
R00790,32,20,348.99
R00791,40,18,302.04
R00792,21,18,261.86
R00793,55,18,241.41
R00794,33,21,361.11
R00795,28,16,237.64
R00796,46,24,328.07
R00797,40,15,228.8
R00798,25,25,352.9
R00799,30,20,266.21
R00800,27,18,237.69
R00801,23,21,309.13
R00802,37,16,237.37
R00803,36,18,254.69
R00804,26,18,262.92
R00805,29,12,180.11
R00806,28,21,316.79
R00807,26,19,292.92
R00808,23,20,363.57
R00809,44,16,269.91
R00810,20,21,282.01
R00811,25,25,360.38
R00812,28,29,393.83
R00813,54,22,327.28
R00814,69,17,330.0
R00815,37,26,346.74
R00816,19,19,306.78
R00817,31,28,413.28
R00818,39,27,386.38
R00819,21,22,348.18
R00820,43,18,270.54
R00821,26,17,246.69
R00822,37,21,346.99
R00823,19,14,178.78
R00824,29,26,346.73
R00825,35,22,399.84
R00826,20,19,255.39
R00827,44,27,454.38
R00828,24,16,238.06
R00829,48,22,337.11
R00830,30,21,302.77
R00831,30,22,354.38
R00832,62,20,315.16
R00833,26,23,331.11
R00834,26,18,257.51
R00835,94,16,232.75
R00836,42,22,300.69
R00837,25,25,415.28999999999996
R00838,41,23,379.12
R00839,53,19,244.57
R00840,19,20,356.37
R00841,41,23,339.1
R00842,22,24,364.88
R00843,39,17,251.9
R00844,25,18,258.51
R00845,42,24,411.43
R00846,55,16,222.13
R00847,24,25,372.41
R00848,72,20,324.99
R00849,24,16,241.51
R00850,110,10,152.46
R00851,36,17,267.51
R00852,18,21,304.1
R00853,34,22,329.68
R00854,27,15,232.92
R00855,21,15,194.12
R00856,22,23,351.4
R00857,40,20,243.0
R00858,22,21,347.18
R00859,55,17,290.05
R00860,42,24,347.75
R00861,35,19,330.5
R00862,28,15,223.88
R00863,37,17,263.05
R00864,32,24,369.55
R00865,53,19,299.04
R00866,33,22,383.97
R00867,23,18,283.22
R00868,27,24,338.4
R00869,32,14,233.01
R00870,34,17,322.40999999999997
R00871,32,21,380.3
R00872,27,23,306.39
R00873,53,13,198.21
R00874,37,17,265.02
R00875,67,15,230.72
R00876,47,17,263.13
R00877,19,14,203.49
R00878,29,13,201.32
R00879,27,20,368.83
R00880,30,23,391.67
R00881,47,20,324.14
R00882,35,25,377.68
R00883,26,18,295.1
R00884,30,25,392.86
R00885,29,19,301.35
R00886,36,23,376.32
R00887,30,19,319.73
R00888,45,14,247.62
R00889,20,23,352.1
R00890,83,20,280.81
R00891,23,27,448.09
R00892,23,19,282.88
R00893,39,15,224.62
R00894,28,20,285.38
R00895,45,26,382.64
R00896,56,22,361.46
R00897,73,16,231.67
R00898,21,16,226.99
R00899,91,15,255.59
R00900,23,25,446.48
R00901,43,25,409.04
R00902,48,17,277.03
R00903,67,26,393.58
R00904,33,19,301.07
R00905,27,23,382.46
R00906,74,24,363.0
R00907,45,18,311.95
R00908,27,29,525.55
R00909,19,18,290.46
R00910,22,22,345.81
R00911,31,28,428.87
R00912,19,19,260.74
R00913,37,23,350.31
R00914,30,13,201.04000000000002
R00915,42,16,244.96
R00916,24,21,311.46
R00917,40,16,215.26
R00918,61,19,297.11
R00919,35,20,313.1
R00920,30,19,302.0
R00921,20,17,250.86
R00922,20,17,245.94
R00923,39,25,359.38
R00924,26,17,271.77
R00925,38,20,300.45
R00926,33,32,526.49
R00927,24,23,409.28
R00928,37,15,237.47
R00929,31,25,428.69
R00930,23,18,285.86
R00931,44,15,216.89
R00932,26,21,320.47
R00933,29,16,250.26
R00934,49,21,322.99
R00935,21,21,281.4
R00936,35,24,371.51
R00937,30,16,235.52
R00938,24,17,289.41
R00939,58,17,315.57
R00940,20,22,329.65
R00941,20,30,457.29
R00942,28,15,235.48000000000002
R00943,43,21,283.18
R00944,58,21,306.29
R00945,19,23,352.58
R00946,50,20,342.49
R00947,26,26,393.79
R00948,24,24,389.11
R00949,26,22,348.38
R00950,33,18,289.21
R00951,27,23,300.67
R00952,22,18,246.66
R00953,38,23,346.65999999999997
R00954,19,18,262.63
R00955,69,13,211.85
R00956,22,17,248.63
R00957,27,21,350.37
R00958,30,19,297.87
R00959,31,22,381.84
R00960,118,11,179.01999999999998
R00961,30,19,330.71
R00962,20,20,315.92
R00963,64,10,137.22
R00964,48,18,275.27
R00965,63,21,297.13
R00966,19,22,345.03000000000003
R00967,21,17,275.09
R00968,31,20,343.4
R00969,23,22,316.75
R00970,25,22,386.27
R00971,43,22,359.3
R00972,30,17,245.78
R00973,50,27,374.11
R00974,22,19,269.35
R00975,27,14,209.9
R00976,57,16,244.6
R00977,74,21,334.93
R00978,27,18,309.07
R00979,22,23,365.37
R00980,42,17,246.15
R00981,30,22,292.87
R00982,36,26,384.9
R00983,81,15,270.58
R00984,23,13,199.2
R00985,32,25,376.84
R00986,30,25,416.6
R00987,26,24,408.17
R00988,75,19,318.19
R00989,24,26,353.44
R00990,27,15,222.5
R00991,52,12,209.99
R00992,28,23,352.88
R00993,42,16,264.43
R00994,38,20,301.09
R00995,23,19,299.01
R00996,30,17,317.98
R00997,24,22,369.81
R00998,30,24,344.2
R00999,32,17,279.05
R01000,33,15,254.27
R01001,45,18,278.67
R01002,29,25,407.08
R01003,22,22,360.15
R01004,34,20,271.27
R01005,33,20,301.31
R01006,38,19,275.62
R01007,79,14,219.55
R01008,19,21,316.15999999999997
R01009,24,21,356.24
R01010,25,21,311.19
R01011,23,24,352.96
R01012,26,19,286.03
R01013,40,21,319.66
R01014,36,19,319.5
R01015,42,24,393.65
R01016,20,23,287.05
R01017,35,14,236.94
R01018,22,17,308.19
R01019,25,20,241.61
R01020,34,21,283.09
R01021,23,21,307.58
R01022,23,18,284.98
R01023,23,26,422.76
R01024,73,17,235.96
R01025,30,20,315.09
R01026,23,20,295.07
R01027,22,22,300.41
R01028,53,16,264.67
R01029,116,15,238.58
R01030,23,21,362.6
R01031,20,22,329.0
R01032,33,21,305.61
R01033,23,16,231.23
R01034,21,33,585.66
R01035,51,21,297.84
R01036,20,18,259.1
R01037,30,25,305.12
R01038,54,29,497.08
R01039,53,18,283.08
R01040,65,21,341.99
R01041,34,15,199.13
R01042,25,25,373.64
R01043,39,24,316.75
R01044,21,19,282.59000000000003
R01045,49,16,270.59
R01046,21,23,413.68
R01047,23,17,247.5
R01048,21,14,172.85
R01049,43,17,270.19
R01050,19,26,369.56
R01051,86,14,199.78
R01052,21,18,244.32
R01053,33,19,303.0
R01054,21,30,477.63
R01055,20,20,277.79
R01056,18,18,296.47
R01057,41,19,262.74
R01058,21,21,339.15
R01059,105,18,266.62
R01060,56,22,422.54
R01061,52,17,269.94
R01062,33,20,328.71
R01063,59,18,285.05
R01064,34,17,271.52
R01065,27,21,313.15
R01066,28,25,395.4
R01067,31,19,319.01
R01068,26,22,315.93
R01069,23,25,370.06
R01070,20,23,334.26
R01071,27,25,434.02
R01072,23,21,274.83
R01073,56,17,279.72
R01074,81,17,238.54999999999998
R01075,27,19,295.19
R01076,30,16,241.22
R01077,28,13,174.16
R01078,52,19,261.42
R01079,36,22,331.27
R01080,80,20,315.76
R01081,48,22,340.3
R01082,46,26,392.31
R01083,23,17,282.59000000000003
R01084,54,14,210.67
R01085,21,18,246.10999999999999
R01086,60,17,253.09
R01087,42,21,276.38
R01088,20,27,437.49
R01089,73,18,301.11
R01090,26,20,302.40999999999997
R01091,48,22,358.7
R01092,23,16,218.57
R01093,24,14,235.19
R01094,29,15,216.46
R01095,56,16,308.15
R01096,69,20,318.76
R01097,28,15,235.1
R01098,86,23,362.83
R01099,25,20,295.32
R01100,64,27,451.21
R01101,20,24,348.74
R01102,19,17,223.39000000000001
R01103,28,21,336.02
R01104,21,15,205.12
R01105,18,19,280.91
R01106,30,26,465.86
R01107,40,22,364.09000000000003
R01108,29,23,339.40999999999997
R01109,21,17,230.35999999999999
R01110,28,8,136.45
R01111,71,17,240.4
R01112,50,17,293.5
R01113,64,22,353.28000000000003
R01114,43,10,175.25
R01115,57,22,327.17
R01116,30,23,358.16
R01117,29,15,201.17
R01118,76,18,270.49
R01119,18,22,380.58
R01120,26,22,350.67
R01121,66,21,307.26
R01122,37,25,381.33
R01123,20,25,405.25
R01124,33,20,286.61
R01125,36,17,228.46
R01126,32,22,353.95
R01127,24,19,265.0
R01128,20,19,289.64
R01129,23,19,284.52
R01130,22,18,272.91
R01131,21,18,253.74
R01132,59,19,262.21000000000004
R01133,22,14,189.3
R01134,21,21,305.62
R01135,50,12,190.41
R01136,55,13,206.81
R01137,19,21,386.5
